player_id,display_name,position,team,fantasy_pts,fantasy_pts_low,fantasy_pts_high,projected_games,fantasy_pts_season,source,low_confidence,role,depth_chart_status,depth_rank,season,team_identity_scale
00-0039798,Isaiah Davis,RB,NYJ,1.2944258444221568,0.1848759397357863,8.726670050957617,15.0,18.91882331672436,v2_team_first,False,depth,listed,3.0,2026,0.9743740000375684
00-0038941,Tyler Scott,WR,LA,1.2941696027084433,0.227895219354042,9.144376979897675,8.75,10.882554499428812,v2_team_first,True,depth,listed,7.0,2026,0.9610181784656139
00-0040782,Isaiah Bond,WR,CLE,1.29334377199438,0.2028256803074211,9.143551149183612,15.0,18.196306109990676,v2_team_first,False,depth,listed,5.0,2026,0.937946352908753
00-0041373,Jerand Bradley,WR,LAC,1.2867998896929091,0.6829275775387458,9.137007266882144,15.0,18.374679148834236,rookie_rule,True,depth,listed,5.0,2026,0.9519573476297233
00-0041451,Brock Rechsteiner,WR,NO,1.2773053448912044,0.8954952226542794,9.127512722080438,15.0,17.92765093792601,rookie_rule,True,depth,listed,11.0,2026,0.9357016581629254
00-0041561,Carson Beck,QB,ARI,1.276568908755178,1.276568908755178,10.766397486964475,12.0,16.509963639142534,rookie_rule,True,,,,2026,1.0777563935843404
00-0036556,Brevin Jordan,TE,HOU,1.2636768494360098,0.3116456961796938,6.737186362530967,8.3,9.816069566144709,v2_team_first,True,depth,listed,4.0,2026,0.9358871964780296
00-0041299,Cam Ross,WR,DEN,1.2635813869192951,0.8969998412805378,9.113788764108527,15.0,18.202717751771317,rookie_rule,True,depth,listed,11.0,2026,0.9603770119971399
00-0040959,Jaydn Ott,RB,KC,1.261171781071816,1.261171781071816,8.693415987607278,15.0,18.43993360980359,rookie_rule,True,depth,listed,5.0,2026,0.974751358831931
00-0040948,J.Michael Sturdivant,WR,GB,1.2610399064959834,0.6442742403889049,9.111247283685216,15.0,17.79975671645552,rookie_rule,True,depth,listed,10.0,2026,0.9410094332867023
00-0039737,Tip Reiman,TE,ARI,1.2605162109727162,0.2392304540896036,6.734025724067672,10.11,11.927115450437366,v2_team_first,True,backup,listed,2.0,2026,0.935913759497193
00-0036980,Elijah Moore,WR,PHI,1.258491794305677,0.2867848690453934,9.10869917149491,13.55,16.165585903437584,v2_team_first,True,depth,listed,5.0,2026,0.9479856566356094
00-0040277,Jahdae Walker,WR,CHI,1.241873644099912,0.2147010701422889,9.092081021289143,11.62,13.903250116602404,v2_team_first,True,depth,listed,4.0,2026,0.9634580225110132
00-0041106,C.J. Williams,WR,JAX,1.2409904910753742,0.6285739270655264,9.091197868264608,15.0,17.45564962296305,rookie_rule,True,depth,listed,6.0,2026,0.9377267458800561
00-0041309,Daniel Sobkowicz,WR,HOU,1.2391379822515096,0.7440945727665367,9.089345359440744,15.0,17.39558424666178,rookie_rule,True,depth,listed,11.0,2026,0.9358970776902
00-0040977,Cortez Braham,WR,BAL,1.2297041720876347,0.7517148761598909,9.079911549276868,15.0,17.277846296901814,rookie_rule,True,depth,listed,10.0,2026,0.936693918699145
00-0041308,Treyvhon Saunders,WR,HOU,1.226720967941045,0.6609868850836028,9.07692834513028,15.0,17.221282559279015,rookie_rule,True,depth,listed,10.0,2026,0.9358978398151176
00-0039626,Cole Burgess,WR,PIT,1.2228804673511458,0.2024350447689724,9.073087844540378,12.0,13.75261793939445,v2_team_first,True,,,,2026,0.9371737676307598
00-0041317,Nick DeGennaro,WR,NE,1.2217248136401797,0.8684896208564338,9.071932190829411,15.0,17.341729569062412,rookie_rule,True,depth,listed,9.0,2026,0.9462976373210163
00-0040887,Josh Cuevas,TE,BAL,1.2188122089273827,0.6399192801044342,6.692321722022339,15.0,17.12460361786804,rookie_rule,True,depth,listed,4.0,2026,0.9366826430102011
00-0040890,Cyrus Allen,WR,KC,1.2168059419617996,0.5211723535655511,9.067013319151034,15.0,17.103567278774264,rookie_rule,True,depth,listed,5.0,2026,0.9370744991157739
